0.896704,-1.78924,-0.791889,-1.12956,-1.91024,-0.775926,-3.08314,-0.344543
0.665233,-1.0751,-0.602889,0.972356,-2.46887,-2.404,-2.27408,0.545251
-2.03943,1.50302,-0.857889,-0.664275,-4.90628,2.80061,0.845041,-0.231323
-1.5528,-3.22802,-0.321889,0.773037,-0.550329,0.397496,0.358542,-1.05902
2.56226,5.18781,-0.669889,-0.678075,0.485258,-0.691687,3.63259,-2.25643
0.25251,-7.14632,-0.618889,2.57272,2.7365,1.55724,-3.70296,-1.25198
3.04602,1.12328,-0.270889,-0.737028,-1.88279,-0.876721,1.08509,1.31512
-0.49755,0.734296,0.875111,-1.59944,4.57989,-2.0071,-0.18166,0.0395448
-5.09203,-1.31206,-0.764889,1.84401,-1.16284,1.20573,2.02345,-1.98035
-2.79544,1.62582,0.970111,-0.538919,0.565738,1.76794,-1.73711,-1.89384
